Name,Job_Role,Experience_Numeric_Weight,Technical_Skill_Proficiency,P1_Big5_Openness,P1_Big5_Conscientiousness,P1_Big5_Extraversion,P1_Big5_Agreeableness,P1_Big5_Neuroticism,P1_Dark_Machiavellianism,P1_Dark_Narcissism,P1_Dark_Psychopathy,P2_Behavior_Self_Efficacy,P2_Behavior_Self_Monitoring,P2_Behavior_Proactivity,P2_Behavior_Action_Orient,P2_Behavior_Psych_Capital,P3_Attitude_Utilitarian,P3_Attitude_Value_Express,P3_Attitude_Ego_Defensive,P3_Attitude_Knowledge,P4_Emotion_Pos_High_Act,P4_Emotion_Prosocial_Aff,P4_Emotion_Neg_High_Act,P4_Emotion_Neg_Low_Act,P4_Emotion_Threat_Apprehend,P5_Comm_Instrumental,P5_Comm_Expressive,P5_Comm_Controlled,P6_EI_Self_Control,P6_EI_Conflict_Management,P6_EI_Empathy_Resolution,P6_EI_Isolated_Focus,P7_Value_Openness_Change,P7_Value_Conservation,P7_Value_Social_Focus,P7_Value_Personal_Focus,P8_Interdep_Positive,P8_Interdep_Negative,P8_Interdep_No,Cluster_ID,PCA_X,PCA_Y
Michelle Garza,Financial Analyst,0.5,0.89,0.91,0.82,0.99,0.8,0.3,0.25,0.65,0.58,0.78,0.8,0.95,0.83,0.75,0.51,0.31,0.18,0.64,0.99,0.53,0.32,0.12,0.35,0.9,0.91,0.59,0.38,0.65,0.89,0.57,0.62,0.34,0.7,0.64,0.35,0.41,0.28,0,-1.391913083466693,2.631025687707496
Brianna Hurst,HR Executive,0.5,0.87,0.59,0.49,0.73,0.63,0.24,0.01,0.05,0.08,0.54,0.81,0.55,0.92,0.76,0.01,0.44,0.07,0.99,0.69,0.99,0.4,0.11,0.03,0.55,0.42,0.75,0.73,0.94,0.9,0.35,0.67,0.59,0.86,0.14,0.79,0.53,0.35,3,-4.130524327500606,-1.5886091647722855
Brandi Richardson,Financial Analyst,0.0,0.81,0.55,0.74,0.54,0.63,0.12,0.17,0.2,0.34,0.68,0.99,0.61,0.24,0.96,0.17,0.78,0.13,0.92,0.92,0.74,0.23,0.34,0.43,0.45,0.6,0.49,0.75,0.99,0.91,0.18,0.75,0.49,0.98,0.73,0.8,0.32,0.19,3,-4.164044477342701,-0.07327329494769166
James Taylor,Financial Analyst,0.0,0.76,0.76,0.82,0.09,0.49,0.45,0.08,0.51,0.14,0.72,0.49,0.5,0.91,0.69,0.68,0.01,0.55,0.67,0.63,0.52,0.32,0.59,0.48,0.85,0.04,0.76,0.46,0.29,0.4,0.99,0.75,0.66,0.47,0.62,0.16,0.04,0.88,1,4.042589533678847,-2.788267383152057
Scott Miller,Financial Analyst,0.0,0.8,0.88,0.72,0.96,0.69,0.45,0.13,0.78,0.53,0.78,0.74,0.72,0.51,0.64,0.57,0.6,0.21,0.59,0.85,0.43,0.48,0.35,0.61,0.87,0.79,0.41,0.64,0.75,0.52,0.52,0.64,0.31,0.73,0.71,0.67,0.38,0.27,0,-0.8174092900450479,2.7704556096497326
Jonathon Ryan,Data Scientist,1.0,0.88,0.71,0.71,0.72,0.99,0.3,0.11,0.2,0.12,0.58,0.89,0.61,0.55,0.76,0.51,0.9,0.01,0.57,0.71,0.93,0.27,0.36,0.26,0.33,0.87,0.72,0.85,0.97,0.7,0.22,0.82,0.6,0.86,0.31,0.99,0.01,0.34,3,-5.174788133703719,-1.1712608614912878
Lisa Cooper,Financial Analyst,0.0,0.78,0.17,0.44,0.79,0.85,0.49,0.43,0.36,0.2,0.66,0.35,0.34,0.62,0.89,0.44,0.62,0.39,0.82,0.84,0.99,0.17,0.46,0.32,0.53,0.8,0.58,0.62,0.84,0.99,0.23,0.78,0.66,0.81,0.56,0.8,0.43,0.37,3,-2.825022508814685,0.08136309419337485
Rachel Hammond,Financial Analyst,1.0,0.9,0.74,0.65,0.62,0.58,0.33,0.08,0.22,0.01,0.62,0.99,0.6,0.5,0.73,0.18,0.58,0.06,0.64,0.77,0.86,0.31,0.19,0.13,0.28,0.57,0.65,0.99,0.69,0.8,0.33,0.61,0.6,0.76,0.25,0.82,0.25,0.49,3,-4.128424757211898,-1.3560662865039512
Steven Neal,Financial Analyst,0.5,0.84,0.7,0.54,0.55,0.99,0.1,0.11,0.43,0.16,0.38,0.99,0.47,0.54,0.84,0.49,0.99,0.01,0.72,0.81,0.83,0.37,0.44,0.09,0.71,0.52,0.43,0.71,0.99,0.8,0.3,0.86,0.5,0.67,0.29,0.99,0.21,0.59,3,-4.310617128835396,-0.5435098687561014
Robert Ruiz,Financial Analyst,0.0,0.71,0.38,0.67,0.7,0.74,0.53,0.2,0.43,0.29,0.91,0.57,0.29,0.86,0.89,0.42,0.73,0.2,0.73,0.48,0.92,0.4,0.41,0.29,0.45,0.94,0.69,0.99,0.59,0.99,0.18,0.64,0.76,0.7,0.67,0.99,0.29,0.16,3,-2.944910191495193,-0.7933183301427523
Charles Ramirez,Financial Analyst,0.5,0.9,0.74,0.47,0.66,0.83,0.17,0.33,0.19,0.07,0.54,0.91,0.48,0.67,0.99,0.39,0.92,0.5,0.75,0.7,0.95,0.06,0.18,0.21,0.79,0.63,0.48,0.59,0.93,0.87,0.46,0.75,0.34,0.73,0.55,0.82,0.38,0.28,3,-3.788702395277084,0.1848493001151304
Jaime Mora,Financial Analyst,1.0,0.99,0.5,0.34,0.69,0.34,0.6,0.87,0.65,0.56,0.76,0.51,0.84,0.68,0.23,0.99,0.37,0.99,0.52,0.42,0.21,0.38,0.64,0.44,0.89,0.7,0.31,0.25,0.5,0.23,0.8,0.45,0.67,0.2,0.9,0.45,0.88,0.66,2,5.7938714450550535,4.33550067939876
Alexandra Howell,Financial Analyst,0.5,0.89,0.79,0.85,0.17,0.68,0.48,0.44,0.27,0.38,0.89,0.3,0.29,0.79,0.36,0.72,0.38,0.58,0.79,0.67,0.37,0.5,0.76,0.24,0.84,0.71,0.76,0.66,0.57,0.46,0.59,0.87,0.3,0.29,0.93,0.35,0.2,0.98,1,3.624451359954656,-1.3073303179287201
Tina White,Financial Analyst,0.5,0.86,0.74,0.58,0.74,0.96,0.14,0.1,0.22,0.01,0.72,0.84,0.56,0.8,0.76,0.49,0.82,0.13,0.77,0.72,0.99,0.05,0.32,0.23,0.32,0.96,0.63,0.53,0.78,0.99,0.17,0.51,0.53,0.92,0.24,0.91,0.21,0.32,3,-5.186125881586068,-0.9380730831565101
John Chaney,Financial Analyst,0.5,0.89,0.87,0.81,0.18,0.35,0.45,0.28,0.6,0.47,0.84,0.22,0.4,0.89,0.52,0.87,0.52,0.41,0.74,0.49,0.48,0.5,0.32,0.36,0.81,0.4,0.61,0.45,0.55,0.22,0.99,0.68,0.37,0.28,0.81,0.32,0.3,0.96,1,4.429013649913725,-0.6766943490793829
Alexis Baker,Financial Analyst,0.0,0.74,0.47,0.61,0.9,0.79,0.01,0.01,0.61,0.37,0.58,0.87,0.59,0.79,0.64,0.24,0.95,0.03,0.61,0.69,0.97,0.27,0.28,0.24,0.3,0.73,0.77,0.71,0.99,0.96,0.37,0.63,0.46,0.99,0.47,0.83,0.45,0.39,3,-4.781931135362806,0.2241401782006579
Traci Anderson,Software Engineer,0.5,0.88,0.86,0.71,0.3,0.87,0.21,0.43,0.3,0.36,0.94,0.34,0.67,0.99,0.61,0.82,0.36,0.4,0.82,0.62,0.63,0.33,0.68,0.63,0.93,0.22,0.66,0.53,0.59,0.27,0.95,0.54,0.72,0.35,0.95,0.57,0.52,0.99,1,3.721079159898627,-1.7879061824476814
David Blair,HR Executive,0.5,0.88,0.27,0.78,0.86,0.45,0.2,0.07,0.25,0.07,0.64,0.9,0.5,0.45,0.77,0.36,0.74,0.16,0.65,0.89,0.66,0.32,0.44,0.23,0.64,0.74,0.43,0.56,0.97,0.95,0.53,0.75,0.54,0.92,0.36,0.8,0.12,0.04,3,-4.004564109666397,0.06851201034725932
Rodney Meyer,Financial Analyst,0.0,0.8,0.75,0.74,0.55,0.41,0.24,0.43,0.25,0.13,0.83,0.24,0.28,0.96,0.69,0.66,0.45,0.48,0.99,0.39,0.5,0.27,0.42,0.42,0.8,0.41,0.82,0.42,0.25,0.39,0.99,0.57,0.57,0.27,0.67,0.43,0.51,0.92,1,3.715724693187383,-2.342091135580976
Kathleen Nguyen,Financial Analyst,1.0,0.94,0.87,0.82,0.76,0.55,0.05,0.66,0.53,0.51,0.75,0.75,0.86,0.71,0.82,0.84,0.92,0.46,0.52,0.64,0.72,0.25,0.34,0.27,0.9,0.83,0.5,0.91,0.82,0.68,0.3,0.68,0.31,0.43,0.7,0.82,0.55,0.35,0,-1.604993747331499,2.360586297621289
Maria Murray,Marketing Manager,0.0,0.97,0.92,0.87,0.6,0.48,0.38,0.01,0.28,0.38,0.98,0.28,0.57,0.86,0.6,0.36,0.49,0.51,0.71,0.46,0.28,0.01,0.6,0.4,0.99,0.43,0.7,0.64,0.53,0.6,0.9,0.87,0.56,0.2,0.74,0.43,0.12,0.65,1,2.4112762823927545,-2.391646445891063
Aaron Roy,Financial Analyst,0.0,0.75,0.57,0.62,0.84,0.99,0.06,0.42,0.4,0.02,0.6,0.79,0.3,0.59,0.88,0.29,0.53,0.28,0.93,0.59,0.75,0.22,0.54,0.05,0.57,0.68,0.54,0.6,0.81,0.7,0.22,0.28,0.29,0.9,0.54,0.99,0.34,0.22,3,-3.476835458912254,-0.27196319218109977
Tony Whitney,Financial Analyst,1.0,0.92,0.81,0.83,0.16,0.72,0.54,0.16,0.36,0.27,0.7,0.52,0.62,0.67,0.56,0.92,0.59,0.41,0.61,0.55,0.55,0.01,0.49,0.34,0.77,0.16,0.73,0.86,0.38,0.59,0.73,0.81,0.6,0.4,0.75,0.5,0.01,0.64,1,1.7678652898835183,-2.66990317702318
Carla Solomon,Financial Analyst,1.0,0.91,0.24,0.9,0.76,0.8,0.46,0.28,0.32,0.21,0.59,0.56,0.69,0.59,0.54,0.48,0.76,0.5,0.64,0.52,0.58,0.44,0.29,0.17,0.34,0.94,0.67,0.91,0.89,0.72,0.57,0.59,0.67,0.99,0.35,0.68,0.1,0.4,3,-2.6013178186748305,-0.48647957788071594
Wesley Nicholson,Financial Analyst,0.5,0.82,0.62,0.85,0.99,0.66,0.32,0.54,0.73,0.54,0.99,0.71,0.65,0.82,0.79,0.76,0.85,0.34,0.99,0.59,0.61,0.28,0.01,0.22,0.48,0.73,0.51,0.77,0.47,0.74,0.41,0.99,0.29,0.45,0.57,0.51,0.47,0.62,0,-0.9666184300352424,1.9667911277450596
Kenneth King,Financial Analyst,0.5,0.86,0.54,0.75,0.73,0.62,0.14,0.07,0.23,0.17,0.7,0.39,0.7,0.59,0.63,0.54,0.43,0.01,0.92,0.72,0.74,0.27,0.27,0.31,0.52,0.72,0.65,0.73,0.73,0.68,0.5,0.75,0.71,0.85,0.38,0.82,0.37,0.25,3,-2.347824022026752,-1.4033007869593237
Joseph Barrett,Financial Analyst,0.5,0.86,0.63,0.73,0.3,0.27,0.36,0.39,0.62,0.31,0.84,0.57,0.36,0.68,0.96,0.69,0.62,0.54,0.63,0.55,0.47,0.4,0.34,0.23,0.73,0.29,0.93,0.92,0.66,0.58,0.7,0.64,0.63,0.26,0.84,0.51,0.38,0.99,1,2.1421480397777457,-1.4118258567027453
Andrew Becker,Financial Analyst,1.0,0.92,0.77,0.61,0.9,0.89,0.33,0.5,0.73,0.24,0.97,0.7,0.99,0.66,0.99,0.6,0.73,0.35,0.54,0.97,0.51,0.48,0.13,0.21,0.66,0.83,0.55,0.57,0.64,0.65,0.43,0.87,0.65,0.73,0.99,0.69,0.39,0.32,0,-2.1065689491138864,2.891624418945362
Antonio Harding,Financial Analyst,1.0,0.94,0.52,0.79,0.36,0.63,0.23,0.43,0.33,0.01,0.47,0.99,0.46,0.46,0.99,0.55,0.94,0.11,0.37,0.72,0.9,0.3,0.52,0.04,0.58,0.59,0.73,0.68,0.73,0.76,0.08,0.66,0.43,0.97,0.45,0.99,0.25,0.38,3,-3.9639071897169047,-0.39316773727974186
Erika Hughes,Financial Analyst,0.5,0.8,0.76,0.79,0.34,0.28,0.77,0.19,0.43,0.26,0.93,0.43,0.4,0.42,0.33,0.66,0.66,0.15,0.99,0.66,0.25,0.19,0.3,0.44,0.79,0.29,0.67,0.68,0.58,0.43,0.75,0.85,0.57,0.43,0.74,0.56,0.48,0.99,1,3.0788802189608493,-1.5654573785373682
Elizabeth Lynch,Financial Analyst,0.0,0.75,0.58,0.44,0.99,0.8,0.19,0.22,0.56,0.01,0.69,0.99,0.57,0.41,0.71,0.43,0.95,0.2,0.72,0.48,0.63,0.18,0.52,0.31,0.49,0.79,0.77,0.66,0.95,0.73,0.6,0.53,0.42,0.93,0.36,0.9,0.23,0.14,3,-3.810965537668019,0.19937878068668388
Jonathan Chen,Financial Analyst,0.5,0.86,0.61,0.99,0.44,0.34,0.43,0.42,0.19,0.36,0.99,0.6,0.52,0.66,0.65,0.55,0.38,0.11,0.92,0.45,0.54,0.37,0.3,0.43,0.69,0.55,0.62,0.58,0.3,0.28,0.85,0.51,0.57,0.41,0.69,0.07,0.5,0.89,1,3.2005745778863464,-1.4032021643445758
Juan David,Financial Analyst,1.0,0.95,0.65,0.73,0.63,0.89,0.26,0.15,0.34,0.31,0.65,0.75,0.71,0.74,0.99,0.14,0.89,0.34,0.47,0.74,0.99,0.13,0.37,0.43,0.29,0.73,0.65,0.63,0.72,0.83,0.42,0.75,0.42,0.95,0.22,0.61,0.14,0.47,3,-4.2391660060440515,-0.43466875899825164
Calvin Braun,Financial Analyst,0.5,0.88,0.6,0.32,0.63,0.78,0.32,0.12,0.06,0.19,0.61,0.64,0.56,0.33,0.89,0.37,0.71,0.39,0.52,0.74,0.83,0.73,0.37,0.13,0.71,0.91,0.61,0.68,0.65,0.91,0.2,0.52,0.67,0.99,0.28,0.97,0.23,0.35,3,-3.7780408013635203,0.24028443064474697
Anthony Gonzalez,Marketing Manager,0.0,0.81,0.71,0.79,0.29,0.53,0.25,0.27,0.26,0.38,0.62,0.14,0.2,0.48,0.8,0.7,0.53,0.48,0.86,0.49,0.61,0.37,0.66,0.49,0.71,0.23,0.64,0.83,0.39,0.33,0.9,0.69,0.64,0.63,0.89,0.4,0.09,0.78,1,2.8445552462254544,-3.158608292557793
Troy Ford,Financial Analyst,1.0,0.71,0.6,0.97,0.89,0.99,0.04,0.22,0.42,0.46,0.4,0.86,0.71,0.67,0.6,0.44,0.81,0.28,0.5,0.58,0.92,0.15,0.2,0.28,0.47,0.91,0.42,0.56,0.79,0.58,0.39,0.35,0.66,0.99,0.39,0.57,0.22,0.18,3,-3.6640426682902056,0.5614848851884487
Amy Martin,Software Engineer,0.5,0.74,0.85,0.73,0.39,0.53,0.48,0.25,0.37,0.13,0.43,0.55,0.27,0.72,0.65,0.75,0.41,0.44,0.92,0.61,0.71,0.39,0.46,0.26,0.87,0.4,0.72,0.73,0.41,0.55,0.99,0.83,0.62,0.19,0.66,0.49,0.67,0.8,1,2.653053773845726,-1.8433935322095973
Kristen Cooper,Financial Analyst,0.0,0.75,0.49,0.8,0.74,0.64,0.36,0.18,0.29,0.31,0.44,0.58,0.6,0.35,0.71,0.55,0.73,0.04,0.63,0.64,0.74,0.78,0.39,0.26,0.58,0.71,0.52,0.79,0.93,0.99,0.51,0.83,0.68,0.99,0.53,0.96,0.01,0.37,3,-2.9484000007457474,-0.29327701954093577
Thomas Rice,Financial Analyst,0.0,0.76,0.55,0.5,0.52,0.54,0.64,0.81,0.81,0.99,0.48,0.52,0.39,0.47,0.44,0.73,0.27,0.82,0.42,0.5,0.42,0.85,0.63,0.71,0.79,0.43,0.28,0.29,0.27,0.41,0.65,0.65,0.28,0.46,0.79,0.13,0.73,0.87,2,5.935502782471301,4.519818535495432
Amanda Wood,Financial Analyst,0.0,0.72,0.63,0.51,0.73,0.74,0.18,0.39,0.25,0.1,0.67,0.91,0.54,0.52,0.89,0.52,0.92,0.24,0.67,0.82,0.88,0.45,0.4,0.58,0.59,0.46,0.54,0.51,0.75,0.79,0.43,0.58,0.76,0.75,0.31,0.66,0.42,0.54,3,-2.4281995538049728,0.025242333891431722
Michele Hancock MD,Financial Analyst,0.5,0.85,0.77,0.64,0.63,0.87,0.26,0.24,0.01,0.01,0.52,0.77,0.58,0.7,0.84,0.2,0.97,0.44,0.41,0.75,0.76,0.27,0.46,0.62,0.56,0.79,0.55,0.78,0.99,0.84,0.17,0.41,0.63,0.89,0.25,0.99,0.14,0.28,3,-4.5498829238922935,-0.8479840652962869
Alan Moore,Financial Analyst,0.5,0.89,0.46,0.64,0.76,0.79,0.54,0.35,0.37,0.09,0.66,0.92,0.69,0.74,0.75,0.32,0.54,0.33,0.37,0.7,0.79,0.28,0.47,0.5,0.56,0.64,0.6,0.62,0.75,0.92,0.15,0.58,0.39,0.95,0.3,0.52,0.45,0.45,3,-2.6678294242872163,1.097092282886752
Aaron Mcclure MD,Financial Analyst,1.0,0.94,0.87,0.8,0.29,0.38,0.53,0.43,0.27,0.09,0.55,0.55,0.52,0.73,0.48,0.48,0.59,0.41,0.99,0.44,0.41,0.46,0.56,0.52,0.76,0.39,0.92,0.63,0.37,0.65,0.75,0.79,0.59,0.07,0.92,0.01,0.01,0.93,1,3.680893471798202,-2.5954372777132324
Mr. Joseph Price,Data Scientist,0.5,0.87,0.52,0.86,0.99,0.86,0.29,0.28,0.3,0.19,0.66,0.82,0.25,0.53,0.62,0.5,0.63,0.02,0.33,0.77,0.71,0.23,0.54,0.36,0.37,0.57,0.67,0.73,0.94,0.49,0.47,0.39,0.48,0.99,0.01,0.84,0.16,0.3,3,-3.511554399405713,-0.8021640669951058
Michael Smith,HR Executive,0.0,0.82,0.75,0.9,0.4,0.47,0.46,0.6,0.5,0.6,0.65,0.65,0.38,0.75,0.71,0.62,0.46,0.54,0.74,0.75,0.24,0.64,0.6,0.39,0.74,0.22,0.73,0.64,0.64,0.75,0.88,0.57,0.52,0.32,0.6,0.22,0.61,0.9,1,3.548372867502286,0.04008977137592096
Amber Taylor,HR Executive,1.0,0.94,0.73,0.53,0.7,0.34,0.1,0.23,0.2,0.25,0.83,0.89,0.99,0.69,0.71,0.82,0.58,0.38,0.61,0.86,0.56,0.35,0.41,0.12,0.72,0.99,0.55,0.48,0.75,0.96,0.41,0.97,0.35,0.69,0.74,0.55,0.46,0.22,0,-2.0268321367318234,2.3433030223448172
Cynthia Martin,Data Scientist,0.5,0.89,0.61,0.84,0.17,0.49,0.56,0.45,0.72,0.43,0.78,0.5,0.47,0.53,0.8,0.85,0.41,0.44,0.99,0.63,0.23,0.39,0.42,0.57,0.95,0.5,0.58,0.53,0.62,0.36,0.62,0.78,0.52,0.62,0.79,0.42,0.24,0.99,1,3.5153293903494105,-0.20000571211103682
Darrell Wong,Financial Analyst,1.0,0.9,0.57,0.86,0.73,0.79,0.23,0.19,0.29,0.29,0.8,0.6,0.71,0.71,0.79,0.18,0.78,0.2,0.68,0.8,0.99,0.09,0.62,0.43,0.56,0.99,0.65,0.91,0.88,0.98,0.47,0.81,0.32,0.79,0.53,0.92,0.19,0.38,3,-3.9881764694983963,-0.8884241503442551
Wendy Golden,Financial Analyst,1.0,0.97,0.89,0.78,0.94,0.34,0.47,0.5,0.5,0.19,0.8,0.51,0.99,0.99,0.82,0.62,0.62,0.46,0.96,0.76,0.38,0.63,0.01,0.1,0.66,0.52,0.67,0.73,0.61,0.79,0.62,0.83,0.28,0.99,0.86,0.74,0.6,0.45,0,-0.5932000082117835,2.0526526196800368
Ruben Hartman,Data Scientist,1.0,0.98,0.64,0.76,0.58,0.24,0.81,0.85,0.83,0.64,0.79,0.52,0.53,0.1,0.31,0.94,0.36,0.66,0.71,0.47,0.5,0.88,0.53,0.83,0.69,0.29,0.64,0.44,0.56,0.43,0.85,0.47,0.42,0.22,0.82,0.06,0.82,0.62,2,6.482704038372138,3.225029937992782
Andrea Bailey,Financial Analyst,1.0,0.89,0.66,0.62,0.98,0.62,0.01,0.09,0.41,0.01,0.5,0.89,0.62,0.66,0.92,0.34,0.69,0.37,0.4,0.38,0.79,0.39,0.34,0.43,0.15,0.8,0.7,0.55,0.98,0.83,0.76,0.32,0.76,0.79,0.11,0.77,0.24,0.46,3,-3.779960483459397,-0.48893424333237634
Sierra Clark,Financial Analyst,0.5,0.84,0.98,0.96,0.26,0.53,0.34,0.38,0.26,0.22,0.99,0.45,0.44,0.53,0.59,0.81,0.47,0.39,0.91,0.56,0.56,0.46,0.44,0.38,0.8,0.38,0.92,0.6,0.43,0.33,0.63,0.51,0.45,0.25,0.82,0.24,0.3,0.98,1,3.565458020671265,-2.3006143399228773
Kevin Bentley,Financial Analyst,0.0,0.71,0.65,0.6,0.69,0.88,0.36,0.01,0.26,0.38,0.86,0.88,0.63,0.85,0.99,0.38,0.6,0.21,0.99,0.46,0.78,0.04,0.32,0.12,0.43,0.46,0.69,0.93,0.79,0.83,0.28,0.68,0.54,0.97,0.53,0.73,0.15,0.44,3,-3.426903461448539,-1.7515064679699655
Jordan Bray,Financial Analyst,0.0,0.98,0.87,0.83,0.14,0.62,0.32,0.25,0.22,0.14,0.63,0.45,0.73,0.49,0.55,0.68,0.52,0.55,0.83,0.4,0.54,0.1,0.13,0.79,0.68,0.24,0.83,0.7,0.58,0.59,0.63,0.89,0.68,0.41,0.81,0.07,0.27,0.71,1,2.3948067076478776,-2.5229761217106876
Wendy Christensen,Financial Analyst,0.5,0.86,0.81,0.7,0.22,0.57,0.31,0.47,0.38,0.32,0.94,0.45,0.73,0.84,0.52,0.89,0.49,0.34,0.89,0.67,0.52,0.62,0.61,0.48,0.65,0.27,0.76,0.75,0.55,0.48,0.87,0.81,0.47,0.6,0.44,0.62,0.29,0.99,1,2.5613491729369358,-1.3512698183490521
Jeffrey Kim,Financial Analyst,0.5,0.86,0.9,0.75,0.96,0.62,0.22,0.41,0.6,0.48,0.92,0.6,0.71,0.9,0.68,0.76,0.64,0.57,0.59,0.99,0.7,0.33,0.12,0.54,0.56,0.8,0.55,0.6,0.82,0.46,0.69,0.73,0.33,0.43,0.91,0.98,0.7,0.57,0,-0.5274695347884568,2.7241164864654395
Robert Boyer,Financial Analyst,0.5,0.84,0.69,0.91,0.51,0.43,0.19,0.11,0.66,0.17,0.72,0.23,0.64,0.58,0.53,0.74,0.29,0.37,0.99,0.56,0.47,0.38,0.39,0.7,0.68,0.33,0.77,0.8,0.62,0.45,0.89,0.75,0.26,0.11,0.66,0.32,0.12,0.96,1,3.0860349433040044,-2.092993411589692
Katie Jackson,HR Executive,0.5,0.88,0.02,0.72,0.6,0.11,0.74,0.77,0.59,0.71,0.66,0.56,0.48,0.35,0.51,0.61,0.23,0.82,0.72,0.47,0.34,0.77,0.64,0.84,0.68,0.45,0.43,0.43,0.37,0.22,0.6,0.91,0.5,0.01,0.79,0.3,0.78,0.49,2,5.998847649247876,3.487589121157553
Michelle Lewis,Financial Analyst,1.0,0.91,0.66,0.44,0.45,0.63,0.71,0.67,0.72,0.7,0.73,0.52,0.51,0.25,0.56,0.75,0.42,0.99,0.53,0.43,0.28,0.76,0.69,0.6,0.67,0.61,0.58,0.15,0.58,0.35,0.64,0.7,0.36,0.39,0.79,0.08,0.65,0.59,2,5.105849848394563,3.856559625530541
Victoria Berger,Software Engineer,0.5,0.87,0.94,0.78,0.31,0.47,0.48,0.38,0.49,0.35,0.79,0.5,0.61,0.64,0.53,0.93,0.56,0.46,0.73,0.23,0.41,0.28,0.4,0.53,0.99,0.47,0.66,0.73,0.38,0.17,0.84,0.89,0.55,0.47,0.65,0.5,0.26,0.99,1,3.7923992723272146,-1.0903782110363056
Phyllis Reeves,Financial Analyst,1.0,0.95,0.5,0.42,0.67,0.87,0.44,0.34,0.48,0.26,0.7,0.57,0.57,0.69,0.99,0.5,0.94,0.1,0.55,0.76,0.99,0.23,0.29,0.4,0.28,0.99,0.47,0.46,0.85,0.99,0.39,0.76,0.56,0.83,0.12,0.51,0.23,0.5,3,-4.019751647526288,0.7927412484669439
Victor Harris,Financial Analyst,0.5,0.88,0.92,0.96,0.62,0.5,0.35,0.5,0.41,0.44,0.68,0.51,0.81,0.99,0.99,0.72,0.61,0.37,0.75,0.99,0.37,0.58,0.04,0.18,0.7,0.81,0.5,0.63,0.71,0.37,0.49,0.97,0.55,0.93,0.81,0.91,0.4,0.18,0,-1.150481340540883,1.9443007030277126
Matthew Deleon,Financial Analyst,0.0,0.75,0.61,0.7,0.67,0.68,0.43,0.42,0.55,0.27,0.85,0.58,0.64,0.97,0.69,0.68,0.69,0.4,0.52,0.6,0.46,0.46,0.14,0.2,0.99,0.47,0.39,0.88,0.69,0.49,0.58,0.86,0.3,0.68,0.65,0.55,0.38,0.25,0,-0.407841479350112,1.5372135547745025
Ryan Perez,Financial Analyst,0.5,0.82,0.8,0.52,0.73,0.37,0.7,0.68,0.78,0.64,0.54,0.79,0.3,0.7,0.07,0.78,0.49,0.62,0.56,0.5,0.3,0.7,0.43,0.31,0.73,0.59,0.33,0.29,0.59,0.28,0.65,0.63,0.43,0.35,0.99,0.44,0.95,0.19,2,4.418271090695276,4.749724069486107
Michael Stevens,Financial Analyst,0.5,0.85,0.66,0.74,0.34,0.28,0.28,0.22,0.32,0.13,0.99,0.67,0.2,0.78,0.73,0.78,0.35,0.36,0.74,0.44,0.27,0.33,0.22,0.37,0.61,0.33,0.65,0.69,0.61,0.69,0.47,0.57,0.55,0.42,0.5,0.25,0.32,0.86,1,1.8349845354389744,-1.724038388158454
Paul Spears,Financial Analyst,0.5,0.82,0.99,0.82,0.99,0.66,0.32,0.45,0.6,0.26,0.61,0.38,0.96,0.77,0.89,0.59,0.65,0.49,0.93,0.8,0.4,0.58,0.21,0.18,0.64,0.64,0.62,0.4,0.72,0.64,0.31,0.99,0.48,0.58,0.73,0.83,0.41,0.61,0,-0.7791350033058075,1.908808523599843
Adam Gay,Marketing Manager,0.5,0.82,0.76,0.98,0.02,0.5,0.55,0.25,0.17,0.22,0.74,0.26,0.81,0.63,0.43,0.69,0.59,0.4,0.92,0.37,0.67,0.43,0.61,0.45,0.92,0.17,0.68,0.85,0.68,0.28,0.89,0.64,0.5,0.39,0.92,0.47,0.25,0.93,1,3.6449488264261767,-2.98887760762839
Bobby Brooks,Software Engineer,0.0,0.78,0.79,0.51,0.99,0.62,0.11,0.63,0.7,0.48,0.77,0.64,0.73,0.99,0.67,0.51,0.55,0.3,0.93,0.89,0.74,0.44,0.22,0.09,0.94,0.9,0.66,0.74,0.59,0.64,0.56,0.99,0.37,0.95,0.83,0.9,0.43,0.34,0,-1.661436338177708,2.3321755736358547
Carmen Ramirez,Financial Analyst,0.0,0.78,0.79,0.75,0.65,0.7,0.23,0.57,0.43,0.45,0.9,0.58,0.95,0.71,0.86,0.61,0.39,0.2,0.64,0.99,0.69,0.64,0.5,0.17,0.67,0.69,0.4,0.32,0.7,0.41,0.39,0.99,0.27,0.68,0.89,0.74,0.44,0.35,0,-0.659720118172613,2.905744514712868
Richard Gonzalez,Financial Analyst,0.0,0.72,0.34,0.52,0.45,0.96,0.05,0.41,0.35,0.29,0.55,0.58,0.5,0.76,0.99,0.48,0.55,0.1,0.38,0.68,0.81,0.23,0.14,0.12,0.46,0.82,0.42,0.82,0.99,0.5,0.54,0.76,0.69,0.7,0.47,0.99,0.1,0.42,3,-3.7367479806435795,-0.464557452372571
Amy White,Financial Analyst,0.0,0.77,0.78,0.59,0.76,0.73,0.15,0.16,0.18,0.27,0.45,0.76,0.57,0.33,0.73,0.44,0.81,0.22,0.7,0.68,0.85,0.29,0.44,0.2,0.38,0.65,0.55,0.96,0.94,0.68,0.21,0.71,0.41,0.74,0.55,0.76,0.34,0.49,3,-3.480804541382995,-0.40572293282603217
